Signal_ID,Symbol,Signal_Date,Yahoo_Ticker,Range_Low,Range_High,Range_Mid,ER60,Prior20_Median_Traded_Value,Open,High,Low,Close,Volume,ATR14,Point_In_Time_Member,Exact_Prehistory_61
LOWER|360ONE|2025-01-28,360ONE,2025-01-28,360ONE.NS,984.1974397168411,1295.8117143828404,1140.0045770498407,0.04010008477594731,465002686.3989258,1042.0567446814625,1042.0567446814625,929.091047307383,995.9954223632812,2328267.0,59.61434662612591,True,True
LOWER|360ONE|2025-01-29,360ONE,2025-01-29,360ONE.NS,929.091047307383,1295.8117143828404,1112.4513808451115,0.03692945177712055,465002686.3989258,981.002158947245,1023.4749047481181,921.1274382763613,1011.037841796875,804573.0,62.666712329385255,True,True
LOWER|360ONE|2025-03-13,360ONE,2025-03-13,360ONE.NS,818.0917031530932,1295.8117143828404,1056.951708767967,0.24024703573165346,782304382.0147095,834.4614095448161,870.0519994851034,811.1112375546077,850.2903442382812,1427481.0,47.14504870558647,True,True
LOWER|360ONE|2025-09-24,360ONE,2025-09-24,360ONE.NS,1002.3537189147071,1260.039709909668,1131.1967144121877,0.19534132752932803,655236974.6150818,1010.9598052725812,1021.8409773449868,994.2423440291933,1015.4111938476562,1158063.0,27.666884648653713,True,True
LOWER|360ONE|2026-03-02,360ONE,2026-03-02,360ONE.NS,1061.239593477627,1229.0652744329707,1145.1524339552989,0.08756524868862822,807625962.6374512,1048.9110616585162,1088.4814042844587,1042.1502593498542,1068.497314453125,1837718.0,36.0220276091405,True,True
LOWER|360ONE|2026-03-04,360ONE,2026-03-04,360ONE.NS,1042.1502593498542,1229.0652744329707,1135.6077668914124,0.08989006575032894,807625962.6374512,1050.2036771389285,1065.0175855996704,1033.3017916082322,1060.245361328125,1197644.0,35.96299155455138,True,True
LOWER|360ONE|2026-03-12,360ONE,2026-03-12,360ONE.NS,1016.499322171311,1229.0652744329707,1122.7822983021408,0.05577660163817954,739950601.5197754,1033.9976505501647,1043.0451057193216,1011.4286512333085,1037.3780517578125,934229.0,33.16297603802558,True,True
LOWER|360ONE|2026-03-16,360ONE,2026-03-16,360ONE.NS,1011.4286512333085,1229.0652744329707,1120.2469628331396,0.11933469126168067,739950601.5197754,1019.0842545888543,1032.904055582778,1004.4690828986596,1016.9963989257812,331156.0,32.069845459033324,True,True
LOWER|360ONE|2026-03-27,360ONE,2026-03-27,360ONE.NS,968.2792013564949,1229.0652744329707,1098.672237894733,0.19101564460754225,653934592.1750488,992.2400552476182,993.1348851818202,964.2027990649648,971.7589721679688,602539.0,33.296289612858395,True,True
LOWER|360ONE|2026-04-02,360ONE,2026-04-02,360ONE.NS,926.7203855468184,1229.0652744329707,1077.8928299898946,0.23281114494509758,590238545.5731201,930.5979428501514,934.8234142786911,909.7191428503082,928.4603271484375,636396.0,34.317660388131664,True,True
